age,inso
209000,456.334497
210000,449.103919
211000,444.789702
212000,443.902026
213000,446.290757
214000,451.801435
215000,460.101916
216000,470.605483
217000,482.462444
218000,495.090233
219000,507.421264
220000,518.675926
221000,528.233701
222000,535.337389
223000,539.709002
224000,541.215822
225000,539.902787
226000,536.004154
227000,530.147378
228000,522.697294
229000,514.390135
230000,505.847052
231000,497.575873
232000,490.062565
233000,483.792174
234000,478.868173
235000,475.545233
236000,473.866316
237000,473.705505
238000,474.983004
239000,477.5061
240000,480.970267
241000,485.136779
242000,489.701135
243000,494.314541
244000,498.664412
245000,502.527453
246000,505.496486
247000,507.453734
248000,508.16855
249000,507.51485
250000,505.489067
251000,502.179537
252000,497.682609
253000,492.342985
254000,486.48655
255000,480.526546
256000,474.932351
257000,470.237639
258000,466.809107
259000,465.111857
260000,465.459079
261000,467.995979
262000,472.827187
263000,479.857999
264000,488.740893
265000,499.140433
266000,510.36449
267000,521.713097
268000,532.332261
269000,541.395006
270000,548.025626
271000,551.614473
272000,551.656494
273000,547.931157
274000,540.642234
275000,530.158723
276000,517.218289
277000,502.799017
278000,487.920713
279000,473.698075
280000,461.18628
281000,451.224143
282000,444.524974
283000,441.512383
284000,442.319239
285000,446.86953
286000,454.682622
287000,465.190897
288000,477.417006
289000,490.382183
290000,502.94484
291000,514.084169
292000,522.804446
293000,528.543595
294000,530.890964
295000,529.842283
296000,525.807069
297000,519.299312
298000,511.141495
299000,502.262244
300000,493.486556
301000,485.615588
302000,479.428912
303000,475.241979
304000,473.521264
305000,474.259574
306000,477.389728
307000,482.613565
308000,489.545148
309000,497.514396
310000,505.960486
311000,514.145058
312000,521.373637
313000,527.044023
314000,530.719429
315000,531.957031
316000,530.750722
317000,527.102082
318000,521.267929
319000,513.670848
320000,504.892229
321000,495.430259
322000,486.024154
323000,477.177451
324000,469.461125
325000,463.249653
326000,458.939702
327000,456.550048
328000,456.286613
329000,457.970288
330000,461.392914
331000,466.303177
332000,472.337925
333000,478.953799
334000,485.899826
335000,492.606532
336000,498.742437
337000,504.050054
338000,508.317039
339000,511.340005
340000,513.26462
341000,514.087019
342000,513.876027
343000,513.004619
344000,511.519269
345000,509.654116
346000,507.700623
347000,505.726908
348000,503.801174
349000,502.241365
350000,500.815085
351000,499.732758
352000,498.956753
353000,498.466043
354000,498.163261
355000,498.215193
356000,498.356125
357000,498.671538
358000,499.124866
359000,499.55436
360000,499.90005
361000,500.176139
362000,500.064699
363000,499.598254
364000,498.65544
365000,497.03273
366000,494.758262
367000,491.877376
368000,488.280944
369000,484.271328
370000,480.012179
371000,475.736226
372000,471.770779
373000,468.599381
374000,466.279869
375000,465.373972
376000,465.959888
377000,468.139677
378000,471.994747
379000,477.420651
380000,484.030253
381000,491.646639
382000,499.732976
383000,507.699344
384000,515.139148
385000,521.458186
386000,526.150995
387000,528.980188
388000,529.783585
389000,528.340437
390000,525.120938
391000,520.245668
392000,514.14639
393000,507.495856
394000,500.740129
395000,494.323301
396000,488.902144
397000,484.626343
398000,481.727752
