age,AT
232000,-1.1367134417123548
233000,-1.4397188180926432
234000,-1.7822036644627757
235000,-2.573621334404807
236000,-3.1560778720793
237000,-3.8259888798525887
238000,-4.695580582153349
239000,-5.281992822555635
240000,-6.396940608019428
241000,-5.043819913202249
242000,-4.38632183162682
243000,-3.1259105361446693
244000,-3.756900214514756
245000,-4.701160503427234
246000,-5.906857666356179
247000,-6.356119631924517
248000,-5.448074916310527
249000,-5.7121704273268055
250000,-6.743858255279569
251000,-6.493300929895671
252000,-7.091078691381642
253000,-7.635394187402576
254000,-7.583410310672119
255000,-6.950418718029845
256000,-6.6655639269948574
257000,-6.709781924670213
258000,-6.980933695376348
259000,-6.995157389738062
260000,-7.257014622171067
261000,-6.485227712957354
262000,-6.326094188044762
263000,-6.341575152465746
264000,-6.208820429101632
265000,-6.667865140952013
266000,-6.804553508965508
267000,-6.46708627265574
268000,-6.052743670729717
269000,-4.603335245200416
270000,-3.7061860493118397
271000,-3.744945909852487
272000,-3.8450541990109404
273000,-4.315243280604482
274000,-4.0420956290863295
275000,-3.866328649267685
276000,-4.059884166763096
277000,-2.8993710384807043
278000,-3.0939444661128626
279000,-3.058433048813016
280000,-3.0191204966105536
281000,-3.1457796609899598
282000,-3.843200230877467
283000,-3.5657411973228097
284000,-4.477600152268796
285000,-4.304394816676596
286000,-4.967748610553207
287000,-5.120803460034978
288000,-5.1057691410426616
289000,-4.952341514584478
290000,-5.171179446711524
291000,-3.875608112771358
292000,-3.8202112033200333
293000,-4.320232792071455
294000,-3.7898423472452256
295000,-3.4543045989995544
296000,-3.4555469090838313
297000,-3.4448923239024145
298000,-3.405539479982087
299000,-3.2624686049958402
300000,-2.7962124721037407
301000,-2.933166372421139
302000,-2.941667145607645
303000,-2.6519907133804903
304000,-2.8392736441741793
305000,-2.959564654557389
306000,-2.508527478759893
307000,-2.244421046543822
308000,-1.848768140691729
309000,-1.2340286649567032
310000,-1.4958012257608224
311000,-1.4934673922625732
